scenario_name,scenario_base,family,traffic_profile_id,benchmark_split,revision_action,change_map,change_mobility,change_tp,settings_file
U1_CBD_Commuting_HelsinkiMedium__TP11_ManyToOne,U1_CBD_Commuting_HelsinkiMedium,01_urban,TP11,stress,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U1_CBD_Commuting_HelsinkiMedium__TP11_ManyToOne.settings
U1_CBD_Commuting_HelsinkiMedium__TP12_GroupToGroup,U1_CBD_Commuting_HelsinkiMedium,01_urban,TP12,control,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U1_CBD_Commuting_HelsinkiMedium__TP12_GroupToGroup.settings
U2_SparseSuburb_Manhattan__TP01_Baseline,U2_SparseSuburb_Manhattan,01_urban,TP01,main,modificar_mapa,recortar_worldSize|opcional_Manhattan,no,si_TP04_06,scenarios/corpus_v2/01_urban/U2_SparseSuburb_Manhattan__TP01_Baseline.settings
U2_SparseSuburb_Manhattan__TP02_LowLoad,U2_SparseSuburb_Manhattan,01_urban,TP02,main,modificar_mapa,recortar_worldSize|opcional_Manhattan,no,si_TP04_06,scenarios/corpus_v2/01_urban/U2_SparseSuburb_Manhattan__TP02_LowLoad.settings
U2_SparseSuburb_Manhattan__TP03_ManySmall,U2_SparseSuburb_Manhattan,01_urban,TP03,main,modificar_mapa,recortar_worldSize|opcional_Manhattan,no,si_TP04_06,scenarios/corpus_v2/01_urban/U2_SparseSuburb_Manhattan__TP03_ManySmall.settings
U2_SparseSuburb_Manhattan__TP04_FewLarge,U2_SparseSuburb_Manhattan,01_urban,TP04,stress,modificar_mapa,recortar_worldSize|opcional_Manhattan,no,si_TP04_06,scenarios/corpus_v2/01_urban/U2_SparseSuburb_Manhattan__TP04_FewLarge.settings
U2_SparseSuburb_Manhattan__TP05_CriticalTTL,U2_SparseSuburb_Manhattan,01_urban,TP05,stress,modificar_mapa,recortar_worldSize|opcional_Manhattan,no,si_TP04_06,scenarios/corpus_v2/01_urban/U2_SparseSuburb_Manhattan__TP05_CriticalTTL.settings
U2_SparseSuburb_Manhattan__TP06_OneToMany,U2_SparseSuburb_Manhattan,01_urban,TP06,stress,modificar_mapa,recortar_worldSize|opcional_Manhattan,no,si_TP04_06,scenarios/corpus_v2/01_urban/U2_SparseSuburb_Manhattan__TP06_OneToMany.settings
U2_SparseSuburb_Manhattan__TP07_BurstWindow,U2_SparseSuburb_Manhattan,01_urban,TP07,main,modificar_mapa,recortar_worldSize|opcional_Manhattan,no,si_TP04_06,scenarios/corpus_v2/01_urban/U2_SparseSuburb_Manhattan__TP07_BurstWindow.settings
U2_SparseSuburb_Manhattan__TP08_HubTarget,U2_SparseSuburb_Manhattan,01_urban,TP08,main,modificar_mapa,recortar_worldSize|opcional_Manhattan,no,si_TP04_06,scenarios/corpus_v2/01_urban/U2_SparseSuburb_Manhattan__TP08_HubTarget.settings
U2_SparseSuburb_Manhattan__TP09_Bimodal,U2_SparseSuburb_Manhattan,01_urban,TP09,stress,modificar_mapa,recortar_worldSize|opcional_Manhattan,no,si_TP04_06,scenarios/corpus_v2/01_urban/U2_SparseSuburb_Manhattan__TP09_Bimodal.settings
U2_SparseSuburb_Manhattan__TP10_Storm,U2_SparseSuburb_Manhattan,01_urban,TP10,stress,modificar_mapa,recortar_worldSize|opcional_Manhattan,no,si_TP04_06,scenarios/corpus_v2/01_urban/U2_SparseSuburb_Manhattan__TP10_Storm.settings
U2_SparseSuburb_Manhattan__TP11_ManyToOne,U2_SparseSuburb_Manhattan,01_urban,TP11,stress,modificar_mapa,recortar_worldSize|opcional_Manhattan,no,si_TP04_06,scenarios/corpus_v2/01_urban/U2_SparseSuburb_Manhattan__TP11_ManyToOne.settings
U2_SparseSuburb_Manhattan__TP12_GroupToGroup,U2_SparseSuburb_Manhattan,01_urban,TP12,control,modificar_mapa,recortar_worldSize|opcional_Manhattan,no,si_TP04_06,scenarios/corpus_v2/01_urban/U2_SparseSuburb_Manhattan__TP12_GroupToGroup.settings
U3_MicroMobility_HelsinkiMedium__TP01_Baseline,U3_MicroMobility_HelsinkiMedium,01_urban,TP01,main,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U3_MicroMobility_HelsinkiMedium__TP01_Baseline.settings
U3_MicroMobility_HelsinkiMedium__TP02_LowLoad,U3_MicroMobility_HelsinkiMedium,01_urban,TP02,main,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U3_MicroMobility_HelsinkiMedium__TP02_LowLoad.settings
U3_MicroMobility_HelsinkiMedium__TP03_ManySmall,U3_MicroMobility_HelsinkiMedium,01_urban,TP03,main,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U3_MicroMobility_HelsinkiMedium__TP03_ManySmall.settings
U3_MicroMobility_HelsinkiMedium__TP04_FewLarge,U3_MicroMobility_HelsinkiMedium,01_urban,TP04,stress,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U3_MicroMobility_HelsinkiMedium__TP04_FewLarge.settings
U3_MicroMobility_HelsinkiMedium__TP05_CriticalTTL,U3_MicroMobility_HelsinkiMedium,01_urban,TP05,stress,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U3_MicroMobility_HelsinkiMedium__TP05_CriticalTTL.settings
U3_MicroMobility_HelsinkiMedium__TP06_OneToMany,U3_MicroMobility_HelsinkiMedium,01_urban,TP06,stress,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U3_MicroMobility_HelsinkiMedium__TP06_OneToMany.settings
U3_MicroMobility_HelsinkiMedium__TP07_BurstWindow,U3_MicroMobility_HelsinkiMedium,01_urban,TP07,main,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U3_MicroMobility_HelsinkiMedium__TP07_BurstWindow.settings
U3_MicroMobility_HelsinkiMedium__TP08_HubTarget,U3_MicroMobility_HelsinkiMedium,01_urban,TP08,main,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U3_MicroMobility_HelsinkiMedium__TP08_HubTarget.settings
U3_MicroMobility_HelsinkiMedium__TP09_Bimodal,U3_MicroMobility_HelsinkiMedium,01_urban,TP09,stress,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U3_MicroMobility_HelsinkiMedium__TP09_Bimodal.settings
U3_MicroMobility_HelsinkiMedium__TP10_Storm,U3_MicroMobility_HelsinkiMedium,01_urban,TP10,stress,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U3_MicroMobility_HelsinkiMedium__TP10_Storm.settings
U3_MicroMobility_HelsinkiMedium__TP11_ManyToOne,U3_MicroMobility_HelsinkiMedium,01_urban,TP11,stress,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U3_MicroMobility_HelsinkiMedium__TP11_ManyToOne.settings
U3_MicroMobility_HelsinkiMedium__TP12_GroupToGroup,U3_MicroMobility_HelsinkiMedium,01_urban,TP12,control,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U3_MicroMobility_HelsinkiMedium__TP12_GroupToGroup.settings
U4_CongestionHotspot_Manhattan__TP01_Baseline,U4_CongestionHotspot_Manhattan,01_urban,TP01,main,modificar_mapa,recortar_worldSize|opcional_Manhattan,no,si_TP04_06,scenarios/corpus_v2/01_urban/U4_CongestionHotspot_Manhattan__TP01_Baseline.settings
U4_CongestionHotspot_Manhattan__TP02_LowLoad,U4_CongestionHotspot_Manhattan,01_urban,TP02,main,modificar_mapa,recortar_worldSize|opcional_Manhattan,no,si_TP04_06,scenarios/corpus_v2/01_urban/U4_CongestionHotspot_Manhattan__TP02_LowLoad.settings
U4_CongestionHotspot_Manhattan__TP03_ManySmall,U4_CongestionHotspot_Manhattan,01_urban,TP03,main,modificar_mapa,recortar_worldSize|opcional_Manhattan,no,si_TP04_06,scenarios/corpus_v2/01_urban/U4_CongestionHotspot_Manhattan__TP03_ManySmall.settings
U4_CongestionHotspot_Manhattan__TP04_FewLarge,U4_CongestionHotspot_Manhattan,01_urban,TP04,stress,modificar_mapa,recortar_worldSize|opcional_Manhattan,no,si_TP04_06,scenarios/corpus_v2/01_urban/U4_CongestionHotspot_Manhattan__TP04_FewLarge.settings
U4_CongestionHotspot_Manhattan__TP05_CriticalTTL,U4_CongestionHotspot_Manhattan,01_urban,TP05,stress,modificar_mapa,recortar_worldSize|opcional_Manhattan,no,si_TP04_06,scenarios/corpus_v2/01_urban/U4_CongestionHotspot_Manhattan__TP05_CriticalTTL.settings
U4_CongestionHotspot_Manhattan__TP06_OneToMany,U4_CongestionHotspot_Manhattan,01_urban,TP06,stress,modificar_mapa,recortar_worldSize|opcional_Manhattan,no,si_TP04_06,scenarios/corpus_v2/01_urban/U4_CongestionHotspot_Manhattan__TP06_OneToMany.settings
U4_CongestionHotspot_Manhattan__TP07_BurstWindow,U4_CongestionHotspot_Manhattan,01_urban,TP07,main,modificar_mapa,recortar_worldSize|opcional_Manhattan,no,si_TP04_06,scenarios/corpus_v2/01_urban/U4_CongestionHotspot_Manhattan__TP07_BurstWindow.settings
U4_CongestionHotspot_Manhattan__TP08_HubTarget,U4_CongestionHotspot_Manhattan,01_urban,TP08,main,modificar_mapa,recortar_worldSize|opcional_Manhattan,no,si_TP04_06,scenarios/corpus_v2/01_urban/U4_CongestionHotspot_Manhattan__TP08_HubTarget.settings
U4_CongestionHotspot_Manhattan__TP09_Bimodal,U4_CongestionHotspot_Manhattan,01_urban,TP09,stress,modificar_mapa,recortar_worldSize|opcional_Manhattan,no,si_TP04_06,scenarios/corpus_v2/01_urban/U4_CongestionHotspot_Manhattan__TP09_Bimodal.settings
U4_CongestionHotspot_Manhattan__TP10_Storm,U4_CongestionHotspot_Manhattan,01_urban,TP10,stress,modificar_mapa,recortar_worldSize|opcional_Manhattan,no,si_TP04_06,scenarios/corpus_v2/01_urban/U4_CongestionHotspot_Manhattan__TP10_Storm.settings
U4_CongestionHotspot_Manhattan__TP11_ManyToOne,U4_CongestionHotspot_Manhattan,01_urban,TP11,stress,modificar_mapa,recortar_worldSize|opcional_Manhattan,no,si_TP04_06,scenarios/corpus_v2/01_urban/U4_CongestionHotspot_Manhattan__TP11_ManyToOne.settings
U4_CongestionHotspot_Manhattan__TP12_GroupToGroup,U4_CongestionHotspot_Manhattan,01_urban,TP12,control,modificar_mapa,recortar_worldSize|opcional_Manhattan,no,si_TP04_06,scenarios/corpus_v2/01_urban/U4_CongestionHotspot_Manhattan__TP12_GroupToGroup.settings
U5_WorkdayShort_HelsinkiMedium__TP01_Baseline,U5_WorkdayShort_HelsinkiMedium,01_urban,TP01,main,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U5_WorkdayShort_HelsinkiMedium__TP01_Baseline.settings
U5_WorkdayShort_HelsinkiMedium__TP02_LowLoad,U5_WorkdayShort_HelsinkiMedium,01_urban,TP02,main,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U5_WorkdayShort_HelsinkiMedium__TP02_LowLoad.settings
U5_WorkdayShort_HelsinkiMedium__TP03_ManySmall,U5_WorkdayShort_HelsinkiMedium,01_urban,TP03,main,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U5_WorkdayShort_HelsinkiMedium__TP03_ManySmall.settings
U5_WorkdayShort_HelsinkiMedium__TP04_FewLarge,U5_WorkdayShort_HelsinkiMedium,01_urban,TP04,stress,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U5_WorkdayShort_HelsinkiMedium__TP04_FewLarge.settings
U5_WorkdayShort_HelsinkiMedium__TP05_CriticalTTL,U5_WorkdayShort_HelsinkiMedium,01_urban,TP05,stress,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U5_WorkdayShort_HelsinkiMedium__TP05_CriticalTTL.settings
U5_WorkdayShort_HelsinkiMedium__TP06_OneToMany,U5_WorkdayShort_HelsinkiMedium,01_urban,TP06,stress,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U5_WorkdayShort_HelsinkiMedium__TP06_OneToMany.settings
U5_WorkdayShort_HelsinkiMedium__TP07_BurstWindow,U5_WorkdayShort_HelsinkiMedium,01_urban,TP07,main,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U5_WorkdayShort_HelsinkiMedium__TP07_BurstWindow.settings
U5_WorkdayShort_HelsinkiMedium__TP08_HubTarget,U5_WorkdayShort_HelsinkiMedium,01_urban,TP08,main,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U5_WorkdayShort_HelsinkiMedium__TP08_HubTarget.settings
U5_WorkdayShort_HelsinkiMedium__TP09_Bimodal,U5_WorkdayShort_HelsinkiMedium,01_urban,TP09,stress,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U5_WorkdayShort_HelsinkiMedium__TP09_Bimodal.settings
U5_WorkdayShort_HelsinkiMedium__TP10_Storm,U5_WorkdayShort_HelsinkiMedium,01_urban,TP10,stress,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U5_WorkdayShort_HelsinkiMedium__TP10_Storm.settings
U5_WorkdayShort_HelsinkiMedium__TP11_ManyToOne,U5_WorkdayShort_HelsinkiMedium,01_urban,TP11,stress,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U5_WorkdayShort_HelsinkiMedium__TP11_ManyToOne.settings
U5_WorkdayShort_HelsinkiMedium__TP12_GroupToGroup,U5_WorkdayShort_HelsinkiMedium,01_urban,TP12,control,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U5_WorkdayShort_HelsinkiMedium__TP12_GroupToGroup.settings
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP01_Baseline,U6_OfficeWaitHeavyTail_HelsinkiMedium,01_urban,TP01,main,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U6_OfficeWaitHeavyTail_HelsinkiMedium__TP01_Baseline.settings
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP02_LowLoad,U6_OfficeWaitHeavyTail_HelsinkiMedium,01_urban,TP02,main,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U6_OfficeWaitHeavyTail_HelsinkiMedium__TP02_LowLoad.settings
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP03_ManySmall,U6_OfficeWaitHeavyTail_HelsinkiMedium,01_urban,TP03,main,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U6_OfficeWaitHeavyTail_HelsinkiMedium__TP03_ManySmall.settings
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP04_FewLarge,U6_OfficeWaitHeavyTail_HelsinkiMedium,01_urban,TP04,stress,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U6_OfficeWaitHeavyTail_HelsinkiMedium__TP04_FewLarge.settings
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP05_CriticalTTL,U6_OfficeWaitHeavyTail_HelsinkiMedium,01_urban,TP05,stress,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U6_OfficeWaitHeavyTail_HelsinkiMedium__TP05_CriticalTTL.settings
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP06_OneToMany,U6_OfficeWaitHeavyTail_HelsinkiMedium,01_urban,TP06,stress,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U6_OfficeWaitHeavyTail_HelsinkiMedium__TP06_OneToMany.settings
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP07_BurstWindow,U6_OfficeWaitHeavyTail_HelsinkiMedium,01_urban,TP07,main,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U6_OfficeWaitHeavyTail_HelsinkiMedium__TP07_BurstWindow.settings
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP08_HubTarget,U6_OfficeWaitHeavyTail_HelsinkiMedium,01_urban,TP08,main,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U6_OfficeWaitHeavyTail_HelsinkiMedium__TP08_HubTarget.settings
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP09_Bimodal,U6_OfficeWaitHeavyTail_HelsinkiMedium,01_urban,TP09,stress,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U6_OfficeWaitHeavyTail_HelsinkiMedium__TP09_Bimodal.settings
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP10_Storm,U6_OfficeWaitHeavyTail_HelsinkiMedium,01_urban,TP10,stress,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U6_OfficeWaitHeavyTail_HelsinkiMedium__TP10_Storm.settings
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP11_ManyToOne,U6_OfficeWaitHeavyTail_HelsinkiMedium,01_urban,TP11,stress,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U6_OfficeWaitHeavyTail_HelsinkiMedium__TP11_ManyToOne.settings
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP12_GroupToGroup,U6_OfficeWaitHeavyTail_HelsinkiMedium,01_urban,TP12,control,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U6_OfficeWaitHeavyTail_HelsinkiMedium__TP12_GroupToGroup.settings
U7_HighTimeVariance_HelsinkiMedium__TP01_Baseline,U7_HighTimeVariance_HelsinkiMedium,01_urban,TP01,main,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U7_HighTimeVariance_HelsinkiMedium__TP01_Baseline.settings
U7_HighTimeVariance_HelsinkiMedium__TP02_LowLoad,U7_HighTimeVariance_HelsinkiMedium,01_urban,TP02,main,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U7_HighTimeVariance_HelsinkiMedium__TP02_LowLoad.settings
U7_HighTimeVariance_HelsinkiMedium__TP03_ManySmall,U7_HighTimeVariance_HelsinkiMedium,01_urban,TP03,main,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U7_HighTimeVariance_HelsinkiMedium__TP03_ManySmall.settings
U7_HighTimeVariance_HelsinkiMedium__TP04_FewLarge,U7_HighTimeVariance_HelsinkiMedium,01_urban,TP04,stress,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U7_HighTimeVariance_HelsinkiMedium__TP04_FewLarge.settings
U7_HighTimeVariance_HelsinkiMedium__TP05_CriticalTTL,U7_HighTimeVariance_HelsinkiMedium,01_urban,TP05,stress,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U7_HighTimeVariance_HelsinkiMedium__TP05_CriticalTTL.settings
U7_HighTimeVariance_HelsinkiMedium__TP06_OneToMany,U7_HighTimeVariance_HelsinkiMedium,01_urban,TP06,stress,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U7_HighTimeVariance_HelsinkiMedium__TP06_OneToMany.settings
U7_HighTimeVariance_HelsinkiMedium__TP07_BurstWindow,U7_HighTimeVariance_HelsinkiMedium,01_urban,TP07,main,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U7_HighTimeVariance_HelsinkiMedium__TP07_BurstWindow.settings
U7_HighTimeVariance_HelsinkiMedium__TP08_HubTarget,U7_HighTimeVariance_HelsinkiMedium,01_urban,TP08,main,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U7_HighTimeVariance_HelsinkiMedium__TP08_HubTarget.settings
U7_HighTimeVariance_HelsinkiMedium__TP09_Bimodal,U7_HighTimeVariance_HelsinkiMedium,01_urban,TP09,stress,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U7_HighTimeVariance_HelsinkiMedium__TP09_Bimodal.settings
U7_HighTimeVariance_HelsinkiMedium__TP10_Storm,U7_HighTimeVariance_HelsinkiMedium,01_urban,TP10,stress,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U7_HighTimeVariance_HelsinkiMedium__TP10_Storm.settings
U7_HighTimeVariance_HelsinkiMedium__TP11_ManyToOne,U7_HighTimeVariance_HelsinkiMedium,01_urban,TP11,stress,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U7_HighTimeVariance_HelsinkiMedium__TP11_ManyToOne.settings
U7_HighTimeVariance_HelsinkiMedium__TP12_GroupToGroup,U7_HighTimeVariance_HelsinkiMedium,01_urban,TP12,control,modificar_mapa,recortar_worldSize,no,si_TP04_06,scenarios/corpus_v2/01_urban/U7_HighTimeVariance_HelsinkiMedium__TP12_GroupToGroup.settings
C1_Campus_ClassChange__TP01_Baseline,C1_Campus_ClassChange,02_campus,TP01,main,modificar_tp,no,no,si_TP04_06,scenarios/corpus_v2/02_campus/C1_Campus_ClassChange__TP01_Baseline.settings
C1_Campus_ClassChange__TP02_LowLoad,C1_Campus_ClassChange,02_campus,TP02,main,modificar_tp,no,no,si_TP04_06,scenarios/corpus_v2/02_campus/C1_Campus_ClassChange__TP02_LowLoad.settings
C1_Campus_ClassChange__TP03_ManySmall,C1_Campus_ClassChange,02_campus,TP03,main,modificar_tp,no,no,si_TP04_06,scenarios/corpus_v2/02_campus/C1_Campus_ClassChange__TP03_ManySmall.settings
C1_Campus_ClassChange__TP04_FewLarge,C1_Campus_ClassChange,02_campus,TP04,stress,modificar_tp,no,no,si_TP04_06,scenarios/corpus_v2/02_campus/C1_Campus_ClassChange__TP04_FewLarge.settings
C1_Campus_ClassChange__TP05_CriticalTTL,C1_Campus_ClassChange,02_campus,TP05,stress,modificar_tp,no,no,si_TP04_06,scenarios/corpus_v2/02_campus/C1_Campus_ClassChange__TP05_CriticalTTL.settings
C1_Campus_ClassChange__TP06_OneToMany,C1_Campus_ClassChange,02_campus,TP06,stress,modificar_tp,no,no,si_TP04_06,scenarios/corpus_v2/02_campus/C1_Campus_ClassChange__TP06_OneToMany.settings
C1_Campus_ClassChange__TP07_BurstWindow,C1_Campus_ClassChange,02_campus,TP07,main,modificar_tp,no,no,si_TP04_06,scenarios/corpus_v2/02_campus/C1_Campus_ClassChange__TP07_BurstWindow.settings
C1_Campus_ClassChange__TP08_HubTarget,C1_Campus_ClassChange,02_campus,TP08,main,modificar_tp,no,no,si_TP04_06,scenarios/corpus_v2/02_campus/C1_Campus_ClassChange__TP08_HubTarget.settings
C1_Campus_ClassChange__TP09_Bimodal,C1_Campus_ClassChange,02_campus,TP09,stress,modificar_tp,no,no,si_TP04_06,scenarios/corpus_v2/02_campus/C1_Campus_ClassChange__TP09_Bimodal.settings
C1_Campus_ClassChange__TP10_Storm,C1_Campus_ClassChange,02_campus,TP10,stress,modificar_tp,no,no,si_TP04_06,scenarios/corpus_v2/02_campus/C1_Campus_ClassChange__TP10_Storm.settings
C1_Campus_ClassChange__TP11_ManyToOne,C1_Campus_ClassChange,02_campus,TP11,stress,modificar_tp,no,no,si_TP04_06,scenarios/corpus_v2/02_campus/C1_Campus_ClassChange__TP11_ManyToOne.settings
C1_Campus_ClassChange__TP12_GroupToGroup,C1_Campus_ClassChange,02_campus,TP12,control,modificar_tp,no,no,si_TP04_06,scenarios/corpus_v2/02_campus/C1_Campus_ClassChange__TP12_GroupToGroup.settings
C2_ExamDay_LongStays__TP01_Baseline,C2_ExamDay_LongStays,02_campus,TP01,main,modificar_tp,no,no,si_TP04_06,scenarios/corpus_v2/02_campus/C2_ExamDay_LongStays__TP01_Baseline.settings
C2_ExamDay_LongStays__TP02_LowLoad,C2_ExamDay_LongStays,02_campus,TP02,main,modificar_tp,no,no,si_TP04_06,scenarios/corpus_v2/02_campus/C2_ExamDay_LongStays__TP02_LowLoad.settings
C2_ExamDay_LongStays__TP03_ManySmall,C2_ExamDay_LongStays,02_campus,TP03,main,modificar_tp,no,no,si_TP04_06,scenarios/corpus_v2/02_campus/C2_ExamDay_LongStays__TP03_ManySmall.settings
