map_id,batch_target,source_type,anchor_id,archetype,generator_type,world_size_x,world_size_y,world_area,bbox_width,bbox_height,useful_area,useful_area_ratio,n_nodes,n_edges,total_road_length_m,road_density,avg_edge_length_m,median_edge_length_m,avg_degree,max_degree,dead_end_ratio,intersection_ratio,n_components,largest_component_ratio,bridge_edges_count,bridge_edges_ratio,articulation_points_count,articulation_points_ratio,graph_diameter_approx,avg_shortest_path_approx,circuity_approx,orientation_entropy,gridness_score,corridor_score,radial_score,partition_score,community_score,tree_like_score,supports_map_based,supports_route_movement_candidate,supports_cluster_overlay,supports_wdm_candidate,supports_bus_route_candidate,validation_status,feature_omissions,sampling_seed,validation_status_val,anchor_label,wkt_dir,roads_wkt,metadata_json,preview_png,generation_status
OSM_kallio_community_offset_n_1000m_500m_1019,1200,osm,kallio_community,compact_residential,,1075,1074,1154550.0,1024.77,1023.74,1049093.28,0.9086598977502262,4717,5648,117899.49,0.0048919492442943,11.3858,6.5642,2.3947,5,0.0854,0.3477,1,1.0,897,0.158817,856,0.181471,2052.42,633.36,1.3506,4.5439,0.4484,1.0405,0.6222,0.0,0.9186,0.4532,yes,yes,yes,yes,no,PASS,,932620693,PASS,Kallio Community Compact,batch_1200/wkt/map_1019,batch_1200/wkt/map_1019/roads.wkt,batch_1200/wkt/map_1019/metadata.json,previews/OSM_kallio_community_offset_n_1000m_500m_1019.png,OK
OSM_kallio_community_offset_n_1500m_500m_0065,100,osm,kallio_community,compact_residential,,1584,1585,2510640.0,1533.68,1534.47,2353387.53,0.93736558451685,10268,12297,262480.59,0.0048979543064716,11.4937,6.5341,2.3952,6,0.1011,0.3635,1,1.0,2048,0.166545,1937,0.188644,3916.58,963.01,1.2843,4.7145,0.3207,1.275,0.6147,0.0,0.9355,0.4597,yes,yes,yes,yes,no,PASS,,1927539477,PASS,Kallio Community Compact,batch_0100/wkt/map_0065,batch_0100/wkt/map_0065/roads.wkt,batch_0100/wkt/map_0065/metadata.json,previews/OSM_kallio_community_offset_n_1500m_500m_0065.png,OK
OSM_kallio_community_offset_n_2500m_500m_0256,400,osm,kallio_community,compact_residential,,2624,2574,6754176.0,2573.6,2523.43,6494313.23,0.9615256152525006,26762,31854,684629.76,0.004716193359486,11.6451,6.7832,2.3805,6,0.0866,0.3463,1,1.0,4412,0.138507,4227,0.157948,7457.28,1491.67,1.2555,4.9879,0.4016,1.161,0.6172,0.0,0.9536,0.4564,yes,yes,yes,yes,no,PASS,,1739524756,PASS,Kallio Community Compact,batch_0400/wkt/map_0256,batch_0400/wkt/map_0256/roads.wkt,batch_0400/wkt/map_0256/metadata.json,previews/OSM_kallio_community_offset_n_2500m_500m_0256.png,OK
OSM_kallio_community_offset_n_5000m_1500m_0753,800,osm,kallio_community,compact_residential,,5162,5183,26754646.0,5111.87,5132.94,26238920.26,0.9807238810285792,78695,92497,2214561.25,0.0034572313160114,12.7082,7.5781,2.3508,6,0.0731,0.317,1,1.0,11820,0.127788,11323,0.143885,12688.21,2905.71,1.195,5.1308,0.3747,1.2247,0.5851,0.0,0.9686,0.4565,yes,yes,yes,yes,no,PASS,,4276889030,PASS,Kallio Community Compact,batch_0800/wkt/map_0753,batch_0800/wkt/map_0753/roads.wkt,batch_0800/wkt/map_0753/metadata.json,previews/OSM_kallio_community_offset_n_5000m_1500m_0753.png,OK
OSM_kallio_community_offset_n_5000m_500m_1048,1200,osm,kallio_community,compact_residential,,5094,5173,26351262.0,5043.72,5122.56,25836756.56,0.9804751118140288,87098,102544,2297963.39,0.0038914265282626,11.9383,6.9436,2.3547,6,0.0906,0.3345,1,1.0,14820,0.144523,13983,0.160543,10530.55,2612.06,1.2037,5.0897,0.409,1.4287,0.6155,0.0,0.9698,0.4631,yes,yes,yes,yes,no,PASS,,107012644,PASS,Kallio Community Compact,batch_1200/wkt/map_1048,batch_1200/wkt/map_1048/roads.wkt,batch_1200/wkt/map_1048/metadata.json,previews/OSM_kallio_community_offset_n_5000m_500m_1048.png,OK
OSM_kallio_community_offset_n_500m_1000m_0091,100,osm,kallio_community,compact_residential,,554,560,310240.0,503.05,509.18,256141.97,0.8256252212665391,750,891,20318.99,0.002871970087674,12.6362,6.7543,2.376,5,0.0787,0.3427,1,1.0,127,0.142536,118,0.157333,1560.06,358.05,1.4239,3.2133,0.084,1.1602,0.7334,0.0,0.8698,0.4534,yes,yes,yes,yes,no,PASS,,3530618355,PASS,Kallio Community Compact,batch_0100/wkt/map_0091,batch_0100/wkt/map_0091/roads.wkt,batch_0100/wkt/map_0091/metadata.json,previews/OSM_kallio_community_offset_n_500m_1000m_0091.png,OK
OSM_kallio_community_offset_n_500m_500m_0811,1000,osm,kallio_community,compact_residential,,554,561,310794.0,503.79,510.94,257405.52,0.828219092690521,1292,1550,27627.33,0.0049872262656293,10.2895,6.2013,2.3994,5,0.0728,0.3398,1,1.0,201,0.129677,190,0.147059,1338.36,393.97,1.4132,4.4203,0.5326,1.2385,0.664,0.0,0.88,0.4468,yes,yes,yes,yes,no,PASS,,2676700510,PASS,Kallio Community Compact,batch_1000/wkt/map_0811,batch_1000/wkt/map_0811/roads.wkt,batch_1000/wkt/map_0811/metadata.json,previews/OSM_kallio_community_offset_n_500m_500m_0811.png,OK
OSM_kumpula_campus_offset_e_1000m_1000m_0399,400,osm,kumpula_campus,campus_compact,,398,1039,413522.0,347.17,988.51,343180.77,0.8298972551980254,994,1181,31762.49,0.0028559544594967,13.4758,8.5901,2.3763,5,0.0523,0.3209,1,1.0,98,0.082981,97,0.097586,1370.81,390.61,1.2963,4.6005,0.2664,6.9465,0.4801,0.0,0.8798,0.4424,yes,yes,partial,partial,no,PASS,,4185165110,PASS,Kumpula Campus,batch_0400/wkt/map_0399,batch_0400/wkt/map_0399/roads.wkt,batch_0400/wkt/map_0399/metadata.json,previews/OSM_kumpula_campus_offset_e_1000m_1000m_0399.png,OK
OSM_lapland_rural_sparse_offset_s_2500m_1500m_0434,600,osm,lapland_rural_sparse,rural_roads,,2548,2517,6413316.0,2497.44,2466.69,6160406.06,0.9605648711680508,1136,1194,56589.08,0.0001861751393506,28.0283,13.9427,2.1021,4,0.0308,0.1127,1,1.0,292,0.244556,291,0.256162,7583.0,2070.82,1.5677,4.9951,0.4284,1.0586,0.6744,0.0,0.9288,0.4899,yes,yes,no,no,no,PASS,,893971086,PASS,Lapland rural roads,batch_0600/wkt/map_0434,batch_0600/wkt/map_0434/roads.wkt,batch_0600/wkt/map_0434/metadata.json,previews/OSM_lapland_rural_sparse_offset_s_2500m_1500m_0434.png,OK
OSM_lapland_rural_sparse_offset_s_2500m_200m_0233,400,osm,lapland_rural_sparse,rural_roads,,2477,2505,6204885.0,2426.13,2454.83,5955750.04,0.9598485766068148,2065,2211,86157.23,0.0003563321479769,25.757,12.0243,2.1414,5,0.0242,0.1269,1,1.0,258,0.116689,254,0.123002,5328.25,1537.82,1.4719,5.041,0.2879,2.2658,0.5342,0.0,0.9236,0.4781,yes,yes,no,no,no,PASS,,1540558257,PASS,Lapland rural roads,batch_0400/wkt/map_0233,batch_0400/wkt/map_0233/roads.wkt,batch_0400/wkt/map_0233/metadata.json,previews/OSM_lapland_rural_sparse_offset_s_2500m_200m_0233.png,SKIPPED_EXISTING_OK
OSM_london_industrial_corridor_offset_w_2500m_1000m_0409,600,osm,london_industrial_corridor,industrial_disrupted,,2561,2567,6574087.0,2510.11,2516.87,6317602.37,0.9609855139276204,5620,5894,148773.65,0.0008965503498812,15.3201,9.3946,2.0975,6,0.0397,0.1217,1,1.0,1204,0.204276,1162,0.206762,5846.71,1587.82,1.5361,4.9787,0.4891,1.7839,0.5911,0.0,0.9513,0.4956,yes,yes,no,partial,no,PASS,,2457830422,PASS,London industrial corridor,batch_0600/wkt/map_0409,batch_0600/wkt/map_0409/roads.wkt,batch_0600/wkt/map_0409/metadata.json,previews/OSM_london_industrial_corridor_offset_w_2500m_1000m_0409.png,OK
OSM_london_industrial_corridor_offset_w_2500m_200m_0933,1000,osm,london_industrial_corridor,industrial_disrupted,,2574,2569,6612606.0,2523.47,2518.09,6354330.44,0.9609419401120132,5744,6006,151194.64,0.0009082652134423,15.996,10.0905,2.0912,6,0.0399,0.1184,1,1.0,1238,0.206127,1187,0.20665,7436.24,1748.61,1.5342,4.9872,0.4556,1.1617,0.6365,0.0,0.9537,0.4972,yes,yes,no,partial,no,PASS,,1471877069,PASS,London industrial corridor,batch_1000/wkt/map_0933,batch_1000/wkt/map_0933/roads.wkt,batch_1000/wkt/map_0933/metadata.json,previews/OSM_london_industrial_corridor_offset_w_2500m_200m_0933.png,OK
OSM_manhattan_midtown_exact_1500m_0m_1177,1200,osm,manhattan_midtown,urban_grid,,1545,1542,2382390.0,1494.32,1491.73,2229118.3,0.935664730672126,1161,1279,36558.07,0.0005368558464399,27.1404,10.7744,2.2033,5,0.0043,0.1232,1,1.0,20,0.015637,20,0.017227,3736.3,938.74,1.3236,2.0575,0.0453,1.1799,0.6636,0.0,0.8726,0.4554,yes,yes,no,yes,no,PASS,,1542512252,PASS,Manhattan Midtown,batch_1200/wkt/map_1177,batch_1200/wkt/map_1177/roads.wkt,batch_1200/wkt/map_1177/metadata.json,previews/OSM_manhattan_midtown_exact_1500m_0m_1177.png,OK
OSM_manhattan_midtown_exact_5000m_0m_0994,1000,osm,manhattan_midtown,urban_grid,,5056,5055,25558080.0,5005.55,5004.64,25050988.47,0.9801592479279132,11558,12720,374960.24,0.0004976899673214,26.1533,10.968,2.2011,6,0.0036,0.121,1,1.0,182,0.014308,183,0.015833,14698.75,3332.48,1.3558,3.3162,0.1668,1.4129,0.5798,0.0,0.9359,0.4559,yes,yes,no,yes,no,PASS,,884589515,PASS,Manhattan Midtown,batch_1000/wkt/map_0994,batch_1000/wkt/map_0994/roads.wkt,batch_1000/wkt/map_0994/metadata.json,previews/OSM_manhattan_midtown_exact_5000m_0m_0994.png,OK
OSM_mit_campus_reality_offset_n_1500m_1500m_0209,400,osm,mit_campus_reality,campus_compact,,1581,1581,2499561.0,1530.83,1530.73,2343289.15,0.9374802825099188,6679,8227,233251.54,0.0032913779659708,15.4267,6.0432,2.4635,7,0.0332,0.3554,1,1.0,671,0.081561,663,0.099266,5999.46,1030.04,1.4019,4.8572,0.4099,1.4297,0.6261,0.0,0.9207,0.4193,yes,yes,partial,partial,no,PASS,,1130516173,PASS,MIT Campus (Reality Mining),batch_0400/wkt/map_0209,batch_0400/wkt/map_0209/roads.wkt,batch_0400/wkt/map_0209/metadata.json,previews/OSM_mit_campus_reality_offset_n_1500m_1500m_0209.png,OK
OSM_mit_campus_reality_offset_n_1500m_500m_0495,600,osm,mit_campus_reality,campus_compact,,1574,1544,2430256.0,1523.07,1493.74,2275065.13,0.9361421730620958,7011,8596,228194.48,0.0035370759294494,14.1306,5.7507,2.4521,8,0.0325,0.3495,1,1.0,610,0.070963,616,0.087862,2976.97,920.35,1.2736,4.9154,0.3426,1.2712,0.6118,0.0,0.9179,0.421,yes,yes,partial,partial,no,PASS,,1109778581,PASS,MIT Campus (Reality Mining),batch_0600/wkt/map_0495,batch_0600/wkt/map_0495/roads.wkt,batch_0600/wkt/map_0495/metadata.json,previews/OSM_mit_campus_reality_offset_n_1500m_500m_0495.png,OK
OSM_nuuksio_sparse_trails_offset_e_2500m_1000m_0184,200,osm,nuuksio_sparse_trails,sparse_trails,,2403,2620,6295860.0,2352.76,2569.92,6046417.06,0.9603798463512982,887,900,39365.81,0.0001429510821396,21.8699,17.0983,2.0293,4,0.0361,0.0631,1,1.0,315,0.35,310,0.349493,5737.64,1862.26,1.6114,5.137,0.3211,1.5912,0.6358,0.0,0.9422,0.51,yes,yes,no,no,no,PASS,,2087141312,PASS,Nuuksio Sparse Trails,batch_0200/wkt/map_0184,batch_0200/wkt/map_0184/roads.wkt,batch_0200/wkt/map_0184/metadata.json,previews/OSM_nuuksio_sparse_trails_offset_e_2500m_1000m_0184.png,OK
OSM_nuuksio_sparse_trails_offset_e_5000m_500m_0322,400,osm,nuuksio_sparse_trails,sparse_trails,,5137,5065,26018905.0,5086.04,5014.38,25503341.25,0.980185032763683,5183,5335,210881.97,0.0002050432176142,19.764,15.521,2.0587,5,0.027,0.0783,1,1.0,1330,0.249297,1306,0.251978,13529.27,3910.88,1.5364,5.1456,0.3254,1.1327,0.6388,0.0,0.9679,0.4988,yes,yes,no,no,no,PASS,,2077181310,PASS,Nuuksio Sparse Trails,batch_0400/wkt/map_0322,batch_0400/wkt/map_0322/roads.wkt,batch_0400/wkt/map_0322/metadata.json,previews/OSM_nuuksio_sparse_trails_offset_e_5000m_500m_0322.png,OK
OSM_sf_cabspotting_downtown_offset_s_1000m_1500m_0275,400,osm,sf_cabspotting_downtown,dense_urban_irregular,,1043,1047,1092021.0,992.47,996.4,988898.71,0.9055674873596874,1025,1085,26994.1,0.0009935706364621,19.1583,11.5279,2.1171,6,0.0185,0.0976,1,1.0,65,0.059908,64,0.062439,3105.93,916.3,3.3242,4.5847,0.3726,1.2748,0.617,0.0,0.9088,0.4806,yes,yes,partial,yes,no,PASS,,2053388741,PASS,San Francisco Downtown (Cabspotting),batch_0400/wkt/map_0275,batch_0400/wkt/map_0275/roads.wkt,batch_0400/wkt/map_0275/metadata.json,previews/OSM_sf_cabspotting_downtown_offset_s_1000m_1500m_0275.png,OK
OSM_sf_mission_corridor_offset_w_5000m_1500m_0912,1000,osm,sf_mission_corridor,corridor_linear,,5189,5069,26303041.0,5138.14,5018.56,25786042.72,0.9803445434361074,19179,20769,735188.87,0.0007896045175917,21.7364,9.5356,2.1658,6,0.0116,0.1204,1,1.0,1704,0.082045,1695,0.088378,15326.64,3499.42,1.3885,4.5772,0.6152,1.3509,0.6498,0.0,0.9537,0.4671,yes,yes,no,partial,partial,PASS,,3474428366,PASS,San Francisco Mission Corridor,batch_1000/wkt/map_0912,batch_1000/wkt/map_0912/roads.wkt,batch_1000/wkt/map_0912/metadata.json,previews/OSM_sf_mission_corridor_offset_w_5000m_1500m_0912.png,OK
OSM_sf_mission_corridor_offset_w_5000m_500m_0156,200,osm,sf_mission_corridor,corridor_linear,,5068,5042,25552856.0,5017.74,4991.26,25044838.41,0.9801189506809443,17506,19107,740465.55,0.0007477442051878,24.2243,10.2659,2.1829,6,0.0125,0.1308,1,1.0,1014,0.05307,998,0.057009,12232.73,3344.15,1.2889,4.3949,0.6379,1.1076,0.6642,0.0,0.9485,0.4638,yes,yes,no,partial,partial,PASS,,1343382383,PASS,San Francisco Mission Corridor,batch_0200/wkt/map_0156,batch_0200/wkt/map_0156/roads.wkt,batch_0200/wkt/map_0156/metadata.json,previews/OSM_sf_mission_corridor_offset_w_5000m_500m_0156.png,SKIPPED_EXISTING_OK
OSM_tampere_suburban_exact_1000m_0m_0325,400,osm,tampere_suburban,suburban_low_density,,671,486,326106.0,620.45,435.26,270060.28,0.8281364883773239,114,113,4074.7,0.0003465130969684,18.0296,13.8429,1.9825,4,0.0526,0.0263,1,1.0,113,1.0,108,0.947368,1640.75,406.05,1.8771,3.6391,0.1947,5.889,0.4542,0.0,0.8407,0.5263,yes,yes,no,no,partial,PASS,,1554229564,PASS,Tampere suburban low density,batch_0400/wkt/map_0325,batch_0400/wkt/map_0325/roads.wkt,batch_0400/wkt/map_0325/metadata.json,previews/OSM_tampere_suburban_exact_1000m_0m_0325.png,OK
OSM_tampere_suburban_exact_1500m_0m_1119,1200,osm,tampere_suburban,suburban_low_density,,1527,817,1247559.0,1476.27,766.67,1131813.25,0.9072222207831256,392,409,16516.71,0.0003278402063549,20.3408,13.8429,2.0867,4,0.0306,0.0969,1,1.0,93,0.227384,91,0.232143,3418.46,681.29,1.4139,4.8433,0.3054,8.1256,0.463,0.0,0.8778,0.4926,yes,yes,no,no,partial,PASS,,3826580860,PASS,Tampere suburban low density,batch_1200/wkt/map_1119,batch_1200/wkt/map_1119/roads.wkt,batch_1200/wkt/map_1119/metadata.json,previews/OSM_tampere_suburban_exact_1500m_0m_1119.png,OK
OSM_tampere_suburban_exact_2500m_0m_1191,1200,osm,tampere_suburban,suburban_low_density,,2434,2525,6145850.0,2383.6,2474.1,5897258.12,0.9595512616147248,1274,1349,51985.33,0.0002194977098367,21.7421,14.8382,2.1177,4,0.0212,0.1122,1,1.0,251,0.186064,251,0.197017,4200.89,1443.17,1.4439,4.9054,0.4789,3.7118,0.5487,0.0,0.911,0.4818,yes,yes,no,no,partial,PASS,,433894673,PASS,Tampere suburban low density,batch_1200/wkt/map_1191,batch_1200/wkt/map_1191/roads.wkt,batch_1200/wkt/map_1191/metadata.json,previews/OSM_tampere_suburban_exact_2500m_0m_1191.png,OK
OSM_tampere_suburban_exact_5000m_0m_0217,400,osm,tampere_suburban,suburban_low_density,,5222,5171,27002962.0,5171.06,5120.37,26477734.6,0.9805492671988087,9348,9800,297825.69,0.0003629231489493,18.8617,12.3105,2.0967,5,0.0194,0.0927,1,1.0,1845,0.188265,1801,0.192662,12854.48,3956.26,1.5282,5.0957,0.4365,1.4056,0.6648,0.0,0.9609,0.4861,yes,yes,no,no,partial,PASS,,2195324144,PASS,Tampere suburban low density,batch_0400/wkt/map_0217,batch_0400/wkt/map_0217/roads.wkt,batch_0400/wkt/map_0217/metadata.json,previews/OSM_tampere_suburban_exact_5000m_0m_0217.png,SKIPPED_EXISTING_OK
SYN_campus_compact_none_0506,600,synthetic,,campus_compact,campus_compact,290,290,84100.0,240.0,240.0,57600.0,0.6848989298454221,23,57,8273.29,0.0006777645659928,145.1454,113.1371,4.9565,10,0.0,1.0,1,1.0,0,0.0,0,0.0,640.0,250.6,1.7834,3.8166,0.3158,1.2179,0.7034,0.0,0.4737,0.193,yes,yes,partial,partial,no,PASS,,1886679928,PASS,,batch_0600/wkt/map_0506,batch_0600/wkt/map_0506/roads.wkt,batch_0600/wkt/map_0506/metadata.json,previews/SYN_campus_compact_none_0506.png,OK
SYN_clustered_communities_haggle_contacts_only_0094,100,trace_reference_synthetic,haggle_contacts_only,clustered_communities,clustered_communities,196,197,38612.0,145.31,146.08,21227.54,0.5497654771457346,27,79,2145.58,0.0020459960633999,27.1593,13.9997,5.8519,10,0.0,1.0,1,1.0,0,0.0,0,0.0,371.41,132.38,1.5502,4.6458,0.2658,2.7861,0.7951,0.0,0.481,0.1646,yes,yes,yes,partial,no,PASS,,1140964875,PASS,Haggle (contacts only),batch_0100/wkt/map_0094,batch_0100/wkt/map_0094/roads.wkt,batch_0100/wkt/map_0094/metadata.json,previews/SYN_clustered_communities_haggle_contacts_only_0094.png,OK
SYN_clustered_communities_haggle_contacts_only_0208,400,trace_reference_synthetic,haggle_contacts_only,clustered_communities,clustered_communities,293,291,85263.0,242.19,240.03,58132.99,0.6818079084546463,27,78,3582.12,0.0009148165089194,45.9246,23.2602,5.7778,10,0.0,0.963,1,1.0,0,0.0,0,0.0,620.81,261.1,1.4406,4.7737,0.2949,2.8106,0.7917,0.0,0.3974,0.1667,yes,yes,yes,partial,no,PASS,,4014918045,PASS,Haggle (contacts only),batch_0400/wkt/map_0208,batch_0400/wkt/map_0208/roads.wkt,batch_0400/wkt/map_0208/metadata.json,previews/SYN_clustered_communities_haggle_contacts_only_0208.png,OK
SYN_clustered_communities_haggle_contacts_only_0690,800,trace_reference_synthetic,haggle_contacts_only,clustered_communities,clustered_communities,402,415,166830.0,351.34,364.46,128051.16,0.7675547792961351,27,92,4391.13,0.0005514595696217,47.7296,32.2843,6.8148,10,0.0,1.0,1,1.0,0,0.0,0,0.0,937.47,381.92,1.4096,4.8997,0.2826,2.742,0.7945,0.0,0.5978,0.1413,yes,yes,yes,partial,no,PASS,,383922779,PASS,Haggle (contacts only),batch_0800/wkt/map_0690,batch_0800/wkt/map_0690/roads.wkt,batch_0800/wkt/map_0690/metadata.json,previews/SYN_clustered_communities_haggle_contacts_only_0690.png,OK
