escenario_actual,problema_detectado,evidencia_numerica,cambio_recomendado,efecto_esperado,prioridad,decision,scenario_base,tp,family,benchmark_split
R3_WildlifeTracking__TP08_HubTarget,ZERO_DELIVERY,delivery=0; overhead=na; drops=0; encounters=1; std_base=0.0026,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,modificar,R3_WildlifeTracking,TP08,04_rural,main
R3_WildlifeTracking__TP11_ManyToOne,ZERO_DELIVERY,delivery=0; overhead=na; drops=0; encounters=1; std_base=0.0026,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,modificar,R3_WildlifeTracking,TP11,04_rural,stress
R5_MountainRescue__TP05_CriticalTTL,ZERO_DELIVERY,delivery=0; overhead=na; drops=0.9752; encounters=3; std_base=0.011,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,modificar,R5_MountainRescue,TP05,04_rural,stress
R5_MountainRescue__TP06_OneToMany,ZERO_DELIVERY,delivery=0; overhead=na; drops=0; encounters=3; std_base=0.011,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,modificar,R5_MountainRescue,TP06,04_rural,stress
R5_MountainRescue__TP11_ManyToOne,ZERO_DELIVERY,delivery=0; overhead=na; drops=0; encounters=3; std_base=0.011,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,modificar,R5_MountainRescue,TP11,04_rural,stress
R7_SparseTinyBuffer__TP04_FewLarge,ZERO_DELIVERY,delivery=0; overhead=na; drops=0; encounters=14; std_base=0.0058,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,modificar,R7_SparseTinyBuffer,TP04,04_rural,stress
R7_SparseTinyBuffer__TP05_CriticalTTL,ZERO_DELIVERY,delivery=0; overhead=na; drops=0.9979; encounters=14; std_base=0.0058,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,modificar,R7_SparseTinyBuffer,TP05,04_rural,stress
R7_SparseTinyBuffer__TP06_OneToMany,ZERO_DELIVERY,delivery=0; overhead=na; drops=0.9897; encounters=14; std_base=0.0058,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,modificar,R7_SparseTinyBuffer,TP06,04_rural,stress
R7_SparseTinyBuffer__TP10_Storm,ZERO_DELIVERY,delivery=0; overhead=na; drops=0.9961; encounters=14; std_base=0.0058,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,modificar,R7_SparseTinyBuffer,TP10,04_rural,stress
R7_SparseTinyBuffer__TP11_ManyToOne,ZERO_DELIVERY,delivery=0; overhead=na; drops=0.7928; encounters=14; std_base=0.0058,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,modificar,R7_SparseTinyBuffer,TP11,04_rural,stress
R8_IntermittentPower__TP02_LowLoad,ZERO_DELIVERY,delivery=0; overhead=na; drops=0; encounters=14; std_base=0.009,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,modificar,R8_IntermittentPower,TP02,04_rural,main
R8_IntermittentPower__TP05_CriticalTTL,ZERO_DELIVERY,delivery=0; overhead=na; drops=0.9979; encounters=14; std_base=0.009,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,modificar,R8_IntermittentPower,TP05,04_rural,stress
D3_Aftershock_ErraticMobility__TP05_CriticalTTL,ZERO_DELIVERY,delivery=0; overhead=na; drops=1; encounters=46; std_base=0.0131,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,modificar,D3_Aftershock_ErraticMobility,TP05,05_disaster,stress
D4_MedicalTriage_TwoClasses__TP05_CriticalTTL,ZERO_DELIVERY,delivery=0; overhead=na; drops=1.0147; encounters=66; std_base=0.0411,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,modificar,D4_MedicalTriage_TwoClasses,TP05,05_disaster,stress
D5_UAVMule_FastRoute_HelsinkiMedium__TP02_LowLoad,ZERO_DELIVERY,delivery=0; overhead=na; drops=0; encounters=382; std_base=0.011,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,modificar,D5_UAVMule_FastRoute_HelsinkiMedium,TP02,05_disaster,main
D5_UAVMule_FastRoute_HelsinkiMedium__TP04_FewLarge,ZERO_DELIVERY,delivery=0; overhead=na; drops=0; encounters=399; std_base=0.011,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,modificar,D5_UAVMule_FastRoute_HelsinkiMedium,TP04,05_disaster,stress
D5_UAVMule_FastRoute_HelsinkiMedium__TP06_OneToMany,ZERO_DELIVERY,delivery=0; overhead=na; drops=0.0794; encounters=419; std_base=0.011,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,modificar,D5_UAVMule_FastRoute_HelsinkiMedium,TP06,05_disaster,stress
D5_UAVMule_FastRoute_HelsinkiMedium__TP08_HubTarget,ZERO_DELIVERY,delivery=0; overhead=na; drops=0; encounters=419; std_base=0.011,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,modificar,D5_UAVMule_FastRoute_HelsinkiMedium,TP08,05_disaster,main
D5_UAVMule_FastRoute_HelsinkiMedium__TP11_ManyToOne,ZERO_DELIVERY,delivery=0; overhead=na; drops=0; encounters=419; std_base=0.011,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,modificar,D5_UAVMule_FastRoute_HelsinkiMedium,TP11,05_disaster,stress
D6_ShortTtlCritical_5to10min__TP02_LowLoad,ZERO_DELIVERY,delivery=0; overhead=na; drops=0; encounters=24; std_base=0.0058,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,modificar,D6_ShortTtlCritical_5to10min,TP02,05_disaster,main
D6_ShortTtlCritical_5to10min__TP04_FewLarge,ZERO_DELIVERY,delivery=0; overhead=na; drops=0; encounters=24; std_base=0.0058,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,modificar,D6_ShortTtlCritical_5to10min,TP04,05_disaster,stress
D6_ShortTtlCritical_5to10min__TP05_CriticalTTL,ZERO_DELIVERY,delivery=0; overhead=na; drops=0.9938; encounters=24; std_base=0.0058,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,modificar,D6_ShortTtlCritical_5to10min,TP05,05_disaster,stress
D6_ShortTtlCritical_5to10min__TP06_OneToMany,ZERO_DELIVERY,delivery=0; overhead=na; drops=0; encounters=24; std_base=0.0058,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,modificar,D6_ShortTtlCritical_5to10min,TP06,05_disaster,stress
D6_ShortTtlCritical_5to10min__TP11_ManyToOne,ZERO_DELIVERY,delivery=0; overhead=na; drops=0; encounters=24; std_base=0.0058,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,modificar,D6_ShortTtlCritical_5to10min,TP11,05_disaster,stress
D7_HighLoad_TrafficStorm__TP02_LowLoad,ZERO_DELIVERY,delivery=0; overhead=na; drops=0; encounters=37; std_base=0.0064,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,modificar,D7_HighLoad_TrafficStorm,TP02,05_disaster,main
D7_HighLoad_TrafficStorm__TP04_FewLarge,ZERO_DELIVERY,delivery=0; overhead=na; drops=0; encounters=37; std_base=0.0064,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,modificar,D7_HighLoad_TrafficStorm,TP04,05_disaster,stress
D7_HighLoad_TrafficStorm__TP05_CriticalTTL,ZERO_DELIVERY,delivery=0; overhead=na; drops=0.9876; encounters=37; std_base=0.0064,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,modificar,D7_HighLoad_TrafficStorm,TP05,05_disaster,stress
D7_HighLoad_TrafficStorm__TP06_OneToMany,ZERO_DELIVERY,delivery=0; overhead=na; drops=0.1077; encounters=37; std_base=0.0064,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,modificar,D7_HighLoad_TrafficStorm,TP06,05_disaster,stress
D7_HighLoad_TrafficStorm__TP11_ManyToOne,ZERO_DELIVERY,delivery=0; overhead=na; drops=0; encounters=37; std_base=0.0064,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,modificar,D7_HighLoad_TrafficStorm,TP11,05_disaster,stress
S4_RandomMixing_NoHotspots__TP05_CriticalTTL,ZERO_DELIVERY,delivery=0; overhead=na; drops=1.0063; encounters=69; std_base=0.042,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,modificar,S4_RandomMixing_NoHotspots,TP05,06_social,stress
S5_TwoLayer_StudentsStaff__TP05_CriticalTTL,ZERO_DELIVERY,delivery=0; overhead=na; drops=1.0437; encounters=308; std_base=0.1676,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,modificar,S5_TwoLayer_StudentsStaff,TP05,06_social,stress
T10_HighRateLowSpeed_Congestion__TP05_CriticalTTL,ZERO_DELIVERY,delivery=0; overhead=na; drops=1.0062; encounters=39; std_base=0.013,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,stress,T10_HighRateLowSpeed_Congestion,TP05,07_traffic,stress
T11_TTL_1min__TP05_CriticalTTL,ZERO_DELIVERY,delivery=0; overhead=na; drops=1.1311; encounters=305; std_base=0.2566,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,stress,T11_TTL_1min,TP05,07_traffic,stress
T12_TTL_Infinite_Buffer200M__TP05_CriticalTTL,ZERO_DELIVERY,delivery=0; overhead=na; drops=1.0021; encounters=35; std_base=0.0232,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,stress,T12_TTL_Infinite_Buffer200M,TP05,07_traffic,stress
T13_Buffer_256k__TP04_FewLarge,ZERO_DELIVERY,delivery=0; overhead=na; drops=0; encounters=9; std_base=0.0055,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,stress,T13_Buffer_256k,TP04,07_traffic,stress
T13_Buffer_256k__TP05_CriticalTTL,ZERO_DELIVERY,delivery=0; overhead=na; drops=0.9979; encounters=9; std_base=0.0055,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,stress,T13_Buffer_256k,TP05,07_traffic,stress
T13_Buffer_256k__TP10_Storm,ZERO_DELIVERY,delivery=0; overhead=na; drops=0.9925; encounters=9; std_base=0.0055,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,stress,T13_Buffer_256k,TP10,07_traffic,stress
T14_Buffer_200M__TP05_CriticalTTL,ZERO_DELIVERY,delivery=0; overhead=na; drops=1.0208; encounters=11; std_base=0.0923,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,stress,T14_Buffer_200M,TP05,07_traffic,stress
T1_ManySmallMsgs_HighRate__TP05_CriticalTTL,ZERO_DELIVERY,delivery=0; overhead=na; drops=1.0021; encounters=48; std_base=0.0297,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,stress,T1_ManySmallMsgs_HighRate,TP05,07_traffic,stress
T2_FewHugeMsgs_LowRate__TP05_CriticalTTL,ZERO_DELIVERY,delivery=0; overhead=na; drops=1.0041; encounters=5; std_base=0.0238,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,stress,T2_FewHugeMsgs_LowRate,TP05,07_traffic,stress
T2_FewHugeMsgs_LowRate__TP06_OneToMany,ZERO_DELIVERY,delivery=0; overhead=na; drops=0.0794; encounters=5; std_base=0.0238,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,stress,T2_FewHugeMsgs_LowRate,TP06,07_traffic,stress
T2_FewHugeMsgs_LowRate__TP11_ManyToOne,ZERO_DELIVERY,delivery=0; overhead=na; drops=0; encounters=5; std_base=0.0238,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,stress,T2_FewHugeMsgs_LowRate,TP11,07_traffic,stress
T3_MixedBimodal_SmallAndLarge__TP05_CriticalTTL,ZERO_DELIVERY,delivery=0; overhead=na; drops=1.0021; encounters=41; std_base=0.0195,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,stress,T3_MixedBimodal_SmallAndLarge,TP05,07_traffic,stress
T4_VeryShortTtl_5to10min__TP02_LowLoad,ZERO_DELIVERY,delivery=0; overhead=na; drops=0; encounters=11; std_base=0.0029,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,stress,T4_VeryShortTtl_5to10min,TP02,07_traffic,stress
T4_VeryShortTtl_5to10min__TP04_FewLarge,ZERO_DELIVERY,delivery=0; overhead=na; drops=0.4118; encounters=11; std_base=0.0029,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,stress,T4_VeryShortTtl_5to10min,TP04,07_traffic,stress
T4_VeryShortTtl_5to10min__TP05_CriticalTTL,ZERO_DELIVERY,delivery=0; overhead=na; drops=1; encounters=11; std_base=0.0029,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,stress,T4_VeryShortTtl_5to10min,TP05,07_traffic,stress
T4_VeryShortTtl_5to10min__TP06_OneToMany,ZERO_DELIVERY,delivery=0; overhead=na; drops=0.7842; encounters=11; std_base=0.0029,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,stress,T4_VeryShortTtl_5to10min,TP06,07_traffic,stress
T4_VeryShortTtl_5to10min__TP11_ManyToOne,ZERO_DELIVERY,delivery=0; overhead=na; drops=0; encounters=11; std_base=0.0029,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,stress,T4_VeryShortTtl_5to10min,TP11,07_traffic,stress
T5_VeryLongTtl_6to24h__TP05_CriticalTTL,ZERO_DELIVERY,delivery=0; overhead=na; drops=1.0105; encounters=6; std_base=0.0661,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,stress,T5_VeryLongTtl_6to24h,TP05,07_traffic,stress
T6_UniformSources_RandomFromTo__TP05_CriticalTTL,ZERO_DELIVERY,delivery=0; overhead=na; drops=1.0041; encounters=33; std_base=0.0141,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,stress,T6_UniformSources_RandomFromTo,TP05,07_traffic,stress
T7_TargetedToHubs_FewDestinations__TP05_CriticalTTL,ZERO_DELIVERY,delivery=0; overhead=na; drops=1.0082; encounters=43; std_base=0.0307,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,stress,T7_TargetedToHubs_FewDestinations,TP05,07_traffic,stress
